time,hr_burner_combustion
585,3034079.022815
585.5,3034365.672237
586,3034651.660988
586.5,3034936.990557
587,3035221.66243
587.5,3035505.678092
588,3035789.039023
588.5,3036071.746702
589,3036353.802605
589.5,3036635.208207
590,3036915.964977
590.5,3037196.074384
591,3037475.537893
591.5,3037754.356968
592,3038032.533068
592.5,3038310.067651
593,3038586.962171
593.5,3038863.218082
594,3039138.836831
594.5,3039413.819865
595,3039688.168628
595.5,3039961.884562
596,3040234.969104
596.5,3040507.423689
597,3040779.249752
597.5,3041050.44872
598,3041321.022021
598.5,3041590.971081
599,3041860.297319
599.5,3042129.002154
600,3042397.087003
600.5,3042664.553278
601,3042931.402389
601.5,3043197.635743
602,3043463.254745
602.5,3043728.260797
603,3043992.655296
603.5,3044256.43964
604,3044519.615219
604.5,3044782.183426
605,3045044.145647
605.5,3045305.503265
606,3045566.257664
606.5,3045826.410221
607,3046085.962311
607.5,3046344.915309
608,3046603.270583
608.5,3046861.0295
609,3047118.193426
609.5,3047374.76372
610,3047630.741742
610.5,3047886.128848
611,3048140.926388
611.5,3048395.135714
612,3048648.758172
612.5,3048901.795106
613,3049154.247857
613.5,3049406.117764
614,3049657.406161
614.5,3049908.114381
615,3050158.243753
615.5,3050407.795605
616,3050656.77126
616.5,3050905.172038
617,3051152.999259
617.5,3051400.254236
618,3051646.938283
618.5,3051893.052708
619,3052138.598818
619.5,3052383.577917
620,3052627.991306
620.5,3052871.840283
621,3053115.126142
621.5,3053357.850176
622,3053600.013674
622.5,3053841.617923
623,3054082.664207
623.5,3054323.153805
624,3054563.087997
624.5,3054802.468058
625,3055041.295259
625.5,3055279.57087
626,3055517.296158
626.5,3055754.472386
627,3055991.100816
627.5,3056227.182706
628,3056462.719312
628.5,3056697.711885
629,3056932.161675
629.5,3057166.06993
630,3057399.437893
630.5,3057632.266807
631,3057864.557909
631.5,3058096.312435
632,3058327.531618
632.5,3058558.216689
633,3058788.368875
633.5,3059017.989401
634,3059247.079487
634.5,3059475.640355
635,3059703.67322
635.5,3059931.179295
636,3060158.159792
636.5,3060384.615918
637,3060610.548879
637.5,3060835.959879
638,3061060.850116
638.5,3061285.220787
639,3061509.073088
639.5,3061732.408211
640,3061955.227343
640.5,3062177.531672
641,3062399.322381
641.5,3062620.600652
642,3062841.367661
642.5,3063061.624586
643,3063281.372599
643.5,3063500.612869
644,3063719.346566
644.5,3063937.574852
645,3064155.298892
645.5,3064372.519844
646,3064589.238865
646.5,3064805.457109
647,3065021.175729
647.5,3065236.395873
648,3065451.118686
648.5,3065665.345314
649,3065879.076898
649.5,3066092.314575
650,3066305.059481
650.5,3066517.31275
651,3066729.075513
651.5,3066940.348897
652,3067151.134028
652.5,3067361.432029
653,3067571.24402
653.5,3067780.571119
654,3067989.414441
654.5,3068197.775098
655,3068405.654201
655.5,3068613.052858
656,3068819.972172
656.5,3069026.413247
657,3069232.377182
657.5,3069437.865075
658,3069642.87802
658.5,3069847.41711
659,3070051.483434
659.5,3070255.07808
660,3070458.202132
660.5,3070660.856672
661,3070863.042781
661.5,3071064.761535
662,3071266.01401
662.5,3071466.801277
663,3071667.124406
663.5,3071866.984465
664,3072066.382518
664.5,3072265.319629
665,3072463.796856
665.5,3072661.815257
666,3072859.375887
666.5,3073056.4798
667,3073253.128044
667.5,3073449.321669
668,3073645.061718
668.5,3073840.349236
669,3074035.185262
669.5,3074229.570835
670,3074423.50699
670.5,3074616.994761
671,3074810.035178
671.5,3075002.629271
672,3075194.778064
672.5,3075386.482582
673,3075577.743847
673.5,3075768.562877
674,3075958.940689
674.5,3076148.878297
675,3076338.376713
675.5,3076527.436947
676,3076716.060007
676.5,3076904.246896
677,3077091.998618
677.5,3077279.316173
678,3077466.200559
678.5,3077652.652771
679,3077838.673804
679.5,3078024.264647
680,3078209.42629
680.5,3078394.159719
681,3078578.465919
681.5,3078762.345871
682,3078945.800554
682.5,3079128.830947
683,3079311.438024
683.5,3079493.622758
684,3079675.38612
684.5,3079856.729078
685,3080037.652597
685.5,3080218.157643
686,3080398.245176
686.5,3080577.916156
687,3080757.171539
687.5,3080936.012282
688,3081114.439335
688.5,3081292.453651
689,3081470.056177
689.5,3081647.24786
690,3081824.029642
690.5,3082000.402467
691,3082176.367272
691.5,3082351.924997
692,3082527.076575
692.5,3082701.822941
693,3082876.165024
693.5,3083050.103753
694,3083223.640055
694.5,3083396.774854
695,3083569.509073
695.5,3083741.843631
696,3083913.779446
696.5,3084085.317434
