Timber Ratio,Furnace Area,Test Time,Fuel Consumption
0.04,130.0,1.75,1.71161050547e+11,
0.04,130.0,1.5,1.65685029568e+11,
0.04,130.0,1.25,1.59644380139e+11,
0.04,130.0,1.0,1.52759616586e+11,
0.04,130.0,0.75,1.44509073819e+11,
0.04,130.0,0.5,1.33738209685e+11,
0.04,130.0,0.25,1.16830293124e+11,
0.04,150.0,2.0,2.62795812955e+11,
0.04,150.0,1.75,2.56062711365e+11,
0.04,150.0,1.5,2.48695735178e+11,
0.04,150.0,1.25,2.404340604e+11,
0.04,150.0,1.0,2.30849986563e+11,
0.04,150.0,0.75,2.19146264083e+11,
0.05,70.0,2.0,37888882670.1,
0.04,150.0,0.5,2.03555181371e+11,
0.05,70.0,1.75,35624297607.6,
0.04,150.0,0.25,1.78520642669e+11,
0.05,70.0,1.5,33346085952.3,
0.05,70.0,1.25,31026869557.7,
0.05,70.0,1.0,28622646699.5,
0.05,70.0,0.75,26054703838.1,
0.05,70.0,0.5,23148083127.5,
0.05,70.0,0.25,19359595947.7,
0.05,80.0,2.0,50429779180.9,
0.05,80.0,1.75,47924620027.6,
0.05,80.0,1.5,45370784940.3,
0.05,80.0,1.25,42728766647.0,
0.05,80.0,1.0,39933743846.9,
0.05,80.0,0.75,36865466764.7,
0.05,80.0,0.5,33256952163.6,
0.05,80.0,0.25,28279928035.5,
0.05,90.0,2.0,66440832803.2,
0.05,90.0,1.75,63635193747.6,
0.05,90.0,1.5,60737632842.5,
0.05,90.0,1.25,57690017329.8,
0.05,90.0,1.0,54400856721.3,
0.05,90.0,0.75,50697476900.3,
0.05,90.0,0.5,46196056785.9,
0.05,90.0,0.25,39704932830.6,
0.04,140.0,2.0,2.16456222346e+11,
0.04,140.0,1.75,2.10605745643e+11,
0.04,140.0,1.5,2.04250687678e+11,
0.04,140.0,1.25,1.97177538806e+11,
0.04,140.0,1.0,1.89037896519e+11,
0.04,140.0,0.75,1.79181861517e+11,
0.04,140.0,0.5,1.6616979577e+11,
0.04,140.0,0.25,1.4548388617e+11,
0.05,100.0,2.0,86372588747.8,
0.05,100.0,1.75,83196218892.5,
0.05,100.0,1.5,79873327433.9,
0.05,100.0,1.25,76323952230.6,
0.05,100.0,1.0,72422014936.0,
0.05,100.0,0.75,67929973916.1,
0.05,100.0,0.5,62319556350.3,
0.05,100.0,0.25,53947692839.2,
0.06,80.0,2.0,49150842397.0,
0.06,80.0,1.75,46816517330.1,
0.06,80.0,1.5,44433605719.6,
0.06,80.0,1.25,41961985140.8,
0.06,80.0,1.0,39338920286.6,
0.06,80.0,0.75,36444855754.8,
0.06,80.0,0.5,33011599250.3,
0.06,80.0,0.25,28207943589.6,
0.05,130.0,2.0,1.74128839583e+11,
0.05,130.0,1.75,1.69325248073e+11,
0.05,130.0,1.5,1.64130823575e+11,
0.05,130.0,1.25,1.58373283828e+11,
0.05,130.0,1.0,1.51775172854e+11,
0.05,130.0,0.75,1.43815247588e+11,
0.05,130.0,0.5,1.33335863559e+11,
0.05,130.0,0.25,1.16713317971e+11,
0.06,70.0,2.0,36768437028.8,
0.06,70.0,1.75,34654250827.9,
0.06,70.0,1.5,32526120575.5,
0.06,70.0,1.25,30357159714.2,
0.06,70.0,1.0,28103870652.0,
0.06,70.0,0.75,25688077752.3,
0.06,70.0,0.5,22934051428.6,
0.06,70.0,0.25,19296612397.6,
0.05,110.0,2.0,1.10669809746e+11,
0.05,110.0,1.75,1.07043047211e+11,
0.05,110.0,1.5,1.03202503706e+11,
0.05,110.0,1.25,99042232996.1,
0.05,110.0,1.0,94394074677.0,
0.05,110.0,0.75,88941588175.5,
0.05,110.0,0.5,81981431221.8,
0.05,110.0,0.25,71321289420.9,
